barangay,latitude,longitude,elevation,timezone,start_date,end_date
Agapito del Rosario,15.1288074255587,120.60734893577668,79.0,Asia/Manila,2020-01-01,2025-12-31
Amsic,15.149852017103367,120.59574108856538,93.0,Asia/Manila,2020-01-01,2025-12-31
Anunas,15.146717001849472,120.56322716010652,128.0,Asia/Manila,2020-01-01,2025-12-31
Balibago,15.159203792352711,120.62084721916099,70.0,Asia/Manila,2020-01-01,2025-12-31
Capaya,15.139393840369523,120.65273563320608,45.0,Asia/Manila,2020-01-01,2025-12-31
Claro M. Recto,15.14683379478172,120.61986457336945,70.0,Asia/Manila,2020-01-01,2025-12-31
Cuayan,15.13954959429122,120.57987575125303,108.0,Asia/Manila,2020-01-01,2025-12-31
Cutcut,15.12304478261633,120.60200146642106,82.0,Asia/Manila,2020-01-01,2025-12-31
Cutud,15.166762200946277,120.64826714938448,54.0,Asia/Manila,2020-01-01,2025-12-31
Lourdes North West,15.133093444161977,120.60466765550841,82.0,Asia/Manila,2020-01-01,2025-12-31
Lourdes Sur,15.131475386660618,120.62338111086267,67.0,Asia/Manila,2020-01-01,2025-12-31
Lourdes Sur East,15.136070985056309,120.61531789488131,74.0,Asia/Manila,2020-01-01,2025-12-31
Malabanias,15.158168321513376,120.60205715116393,86.0,Asia/Manila,2020-01-01,2025-12-31
Margot,15.158390704247825,120.569495353441,117.0,Asia/Manila,2020-01-01,2025-12-31
Mining,15.134714924174434,120.63821746856702,56.0,Asia/Manila,2020-01-01,2025-12-31
Ninoy Aquino,15.149215303932468,120.62985480916905,60.0,Asia/Manila,2020-01-01,2025-12-31
Pampang,15.134067869431124,120.59443087388557,92.0,Asia/Manila,2020-01-01,2025-12-31
Pandan,15.146533018742312,120.63622870474182,55.0,Asia/Manila,2020-01-01,2025-12-31
Pulung Cacutud,15.160277266135989,120.64598834152048,52.0,Asia/Manila,2020-01-01,2025-12-31
Pulung Maragul,15.152751613865101,120.63875655971631,57.0,Asia/Manila,2020-01-01,2025-12-31
Pulungbulu,15.124041389915494,120.63001840330878,60.0,Asia/Manila,2020-01-01,2025-12-31
Salapungan,15.14100124178657,120.63158840289272,60.0,Asia/Manila,2020-01-01,2025-12-31
San Jose,15.1190988260225,120.61161248148359,73.0,Asia/Manila,2020-01-01,2025-12-31
San Nicolas,15.128817422979623,120.59735168837611,85.0,Asia/Manila,2020-01-01,2025-12-31
Santa Teresita,15.14278031764967,120.59967742672724,89.0,Asia/Manila,2020-01-01,2025-12-31
Santa Trinidad,15.124599275008807,120.60991586506778,77.0,Asia/Manila,2020-01-01,2025-12-31
Santo Cristo,15.128221886186527,120.62356543055793,65.0,Asia/Manila,2020-01-01,2025-12-31
Santo Domingo,15.114577988164934,120.61430440997516,68.0,Asia/Manila,2020-01-01,2025-12-31
Santo Rosario,15.125447859910029,120.6211081517292,65.0,Asia/Manila,2020-01-01,2025-12-31
Sapalibutad,15.149890519349183,120.65176741731096,45.0,Asia/Manila,2020-01-01,2025-12-31
Sapangbato,15.144361007467783,120.51164588938146,228.0,Asia/Manila,2020-01-01,2025-12-31
Tabun,15.14251613051532,120.64794642550781,50.0,Asia/Manila,2020-01-01,2025-12-31
Virgen Delos Remedios,15.138393081678872,120.6073721759705,78.0,Asia/Manila,2020-01-01,2025-12-31
